"Size","Order","Completeness","SizeLcc","OrderLcc","RelativeSizeLcc","RelativeOrderLcc","Entity"
14,2869,7.15425650155835e-06,1,2,5.11018321539882e-07,0.00069710700592541,"mm"
13,2869,6.64323818001847e-06,3,4,1.53305496461965e-06,0.00139421401185082,"mm"
11,2869,5.6212015369387e-06,2,3,1.02203664307976e-06,0.00104566050888811,"mm"
1956877,2869,1,1898628,1969,0.970233693788623,0.686301847333566,"mm"
1761189,2869,0.899999846694504,1708757,1962,0.873206134059524,0.683861972812827,"mm"
1585070,2869,0.809999810923221,1537933,1948,0.785911940300796,0.678982223771349,"mm"
1426563,2869,0.728999829830899,1384199,1936,0.707351049657183,0.674799581735796,"mm"
1283906,2869,0.656099489134984,1245767,1935,0.636609761369774,0.674451028232834,"mm"
1155516,2869,0.590489846832479,1121058,1916,0.572881177508857,0.667828511676542,"mm"
1039964,2869,0.531440657741902,1009019,1888,0.51562719578185,0.658069013593587,"mm"
935968,2869,0.47829679637504,908026,1873,0.464017922434573,0.652840711049146,"mm"
842371,2869,0.430467014533872,817316,1875,0.41766345048769,0.653537818055071,"mm"
758134,2869,0.387420364182317,735738,1847,0.37597559785311,0.643778319972116,"mm"
682320,2869,0.348678021153092,661820,1841,0.338202145561525,0.641686998954339,"mm"
614088,2869,0.313810219037783,595721,1808,0.30442434552606,0.63018473335657,"mm"
552679,2869,0.282429094930341,535794,1773,0.27380055057114,0.617985360752876,"mm"
497411,2869,0.254186134335474,482083,1774,0.246353245502911,0.618333914255838,"mm"
447670,2869,0.228767572003759,434096,1747,0.221831009307177,0.608922969675845,"mm"
402903,2869,0.205890814803383,390818,1731,0.199715158387574,0.603346113628442,"mm"
362613,2869,0.185301886628541,351916,1706,0.179835523643029,0.594632276054374,"mm"
326351,2869,0.166771340252862,316478,1671,0.161726056364299,0.58243290345068,"mm"
293716,2869,0.150094257329408,284867,1628,0.145572256202102,0.567445102823283,"mm"
264345,2869,0.13508513820746,238548,571,0.121902398566696,0.199024050191704,"mm"
237910,2869,0.121576368877553,230433,1589,0.1177554848874,0.553851516207738,"mm"
214119,2869,0.109418731989798,207300,1514,0.105934098055218,0.527710003485535,"mm"
192707,2869,0.0984768076889861,186662,1475,0.0953877019352775,0.51411641686999,"mm"
173436,2869,0.088628973614591,167982,1469,0.0858418796889125,0.512025095852213,"mm"
156093,2869,0.0797663828641248,140923,569,0.0720142349263648,0.198326943185779,"mm"
140483,2869,0.0717893868648873,127051,632,0.0649253887699636,0.220285813872429,"mm"
126435,2869,0.064610601483895,114212,572,0.058364424539713,0.199372603694667,"mm"
113791,2869,0.0581492858263447,102625,577,0.0524432552480304,0.201115371209481,"mm"
102412,2869,0.0523344083455424,92615,573,0.0473279618494162,0.19972115719763,"mm"
92171,2869,0.0471010697146525,83285,570,0.0425601609094491,0.198675496688742,"mm"
82954,2869,0.0423910138450194,74807,568,0.038227747579434,0.197978389682816,"mm"
74658,2869,0.0381516058495245,67358,565,0.0344211721022834,0.196932729173928,"mm"
67192,2869,0.0343363430609078,60682,573,0.0310096137876831,0.19972115719763,"mm"
60473,2869,0.0309028109584813,56642,941,0.028945099768662,0.327988846287905,"mm"
54426,2869,0.0278126831681296,49143,564,0.0251129733754344,0.196584175670966,"mm"
48983,2869,0.025031210443988,45408,843,0.023204319944483,0.29383060299756,"mm"
44085,2869,0.0225282427050857,39778,554,0.0203272867942134,0.193098640641338,"mm"
39676,2869,0.0202751629254164,35844,555,0.0183169407172755,0.193447194144301,"mm"
35709,2869,0.0182479532438677,32314,558,0.0165130460422398,0.194492854653189,"mm"
32138,2869,0.0164231068176487,29010,552,0.014824641507872,0.192401533635413,"mm"
28924,2869,0.0147806939322196,26095,556,0.0133350231005832,0.193795747647264,"mm"
26031,2869,0.0133023179280047,23441,534,0.0119787804752164,0.186127570582084,"mm"
23428,2869,0.0119721372370364,21054,538,0.0107589797417007,0.187521784593935,"mm"
21085,2869,0.0107748213096684,18950,516,0.00968379719318077,0.179853607528756,"mm"
18977,2869,0.00969759468786234,16994,518,0.00868424535624876,0.180550714534681,"mm"
17079,2869,0.00872768191357965,15370,523,0.00785435160206799,0.182293482049495,"mm"
15371,2869,0.00785486262038953,13762,507,0.00703263414103186,0.176716626002091,"mm"
13834,2869,0.00706942746018273,12450,512,0.00636217810317153,0.178459393516905,"mm"
12450,2869,0.00636217810317153,11169,527,0.00570756363327894,0.183687696061345,"mm"
11205,2869,0.00572596029285438,10067,515,0.00514442144294199,0.179505054025793,"mm"
10085,2869,0.00515361977272971,9014,504,0.0046063191503605,0.175670965493203,"mm"
9076,2869,0.00463800228629597,8196,526,0.00418830616334087,0.183339142558383,"mm"
8169,2869,0.0041745086686593,7352,516,0.00375700669996121,0.179853607528756,"mm"
7352,2869,0.00375700669996121,6586,503,0.00336556666566166,0.175322411990241,"mm"
6616,2869,0.00338089721530786,5988,519,0.00305997770938081,0.180899268037644,"mm"
5955,2869,0.00304311410477,5367,494,0.00274263533170455,0.172185430463576,"mm"
5359,2869,0.00273854718513223,4804,500,0.00245493201667759,0.174276751481352,"mm"
4823,2869,0.00246464136478685,4301,495,0.00219788980094303,0.172533983966539,"mm"
4341,2869,0.00221833053380463,3893,494,0.00198939432575476,0.172185430463576,"mm"
3907,2869,0.00199654858225632,3518,492,0.00179776245517731,0.171488323457651,"mm"
3516,2869,0.00179674041853423,3171,491,0.00162043909760297,0.171139769954688,"mm"
3164,2869,0.00161686196935219,2842,492,0.00145231406981635,0.171488323457651,"mm"
2848,2869,0.00145538017974558,2592,493,0.00132455948943137,0.171836876960613,"mm"
2563,2869,0.00130973995810672,2308,487,0.00117943028611405,0.169745555942837,"mm"
2307,2869,0.00117891926779251,2065,492,0.00105525283397986,0.171488323457651,"mm"
2076,2869,0.0010608740355168,1893,491,0.000967357682674997,0.171139769954688,"mm"
1868,2869,0.0009545822246365,1674,485,0.000855444670257763,0.169048448936912,"mm"
1681,2869,0.000859021798508542,1494,485,0.000763461372380584,0.169048448936912,"mm"
1513,2869,0.000773170720489842,1373,484,0.000701628155474258,0.168699895433949,"mm"
1362,2869,0.00069600695393732,1235,483,0.000631107627101755,0.168351341930986,"mm"
1226,2869,0.000626508462207896,1098,477,0.000561098117050791,0.16626002091321,"mm"
1103,2869,0.00056365320865849,989,465,0.000505397120002943,0.162077378877658,"mm"
993,2869,0.000507441193289103,911,478,0.000465537690922833,0.166608574416173,"mm"
893,2869,0.000456339361135115,789,463,0.000403193455694967,0.161380271871732,"mm"
804,2869,0.000410858730518065,717,455,0.000366400136544095,0.158591843848031,"mm"
724,2869,0.000369977264794875,648,445,0.000331139872357844,0.155106308818404,"mm"
651,2869,0.000332672927322463,581,436,0.000296901644814672,0.151969327291739,"mm"
586,2869,0.000299456736422371,512,395,0.00026164138062842,0.137678633670268,"mm"
527,2869,0.000269306655451518,459,370,0.000234557409586806,0.128964796096201,"mm"
475,2869,0.000242733702731444,368,314,0.000188054742326677,0.109445799930289,"mm"
427,2869,0.00021820482329753,325,300,0.000166080954500462,0.104566050888811,"mm"
384,2869,0.000196231035471315,238,228,0.000121622360526492,0.0794701986754967,"mm"
346,2869,0.000176812339252799,224,213,0.000114468104024934,0.0742418961310561,"mm"
311,2869,0.000158926697998903,76,77,3.8837392437031e-05,0.0268386197281283,"mm"
280,2869,0.000143085130031167,37,38,1.89076778969756e-05,0.0132450331125828,"mm"
252,2869,0.00012877661702805,58,59,2.96390626493132e-05,0.0205646566747996,"mm"
227,2869,0.000116001158989553,69,68,3.52602641862519e-05,0.0237016382014639,"mm"
204,2869,0.000104247737594136,25,25,1.27754580384971e-05,0.00871383757406762,"mm"
184,2869,9.40273711633383e-05,15,16,7.66527482309823e-06,0.00557685604740328,"mm"
165,2869,8.43180230540806e-05,10,11,5.11018321539882e-06,0.00383408853258975,"mm"
149,2869,7.61417299094424e-05,10,11,5.11018321539882e-06,0.00383408853258975,"mm"
134,2869,6.84764550863442e-05,5,6,2.55509160769941e-06,0.00209132101777623,"mm"
120,2869,6.13221985847859e-05,9,10,4.59916489385894e-06,0.00348553502962705,"mm"
108,2869,5.51899787263073e-05,7,8,3.57712825077918e-06,0.00278842802370164,"mm"
97,2869,4.95687771893686e-05,9,9,4.59916489385894e-06,0.00313698152666434,"mm"
88,2869,4.49696122955096e-05,6,7,3.06610992923929e-06,0.00243987452073893,"mm"
79,2869,4.03704474016507e-05,5,6,2.55509160769941e-06,0.00209132101777623,"mm"
71,2869,3.62823008293316e-05,3,4,1.53305496461965e-06,0.00139421401185082,"mm"
64,2869,3.27051725785525e-05,4,5,2.04407328615953e-06,0.00174276751481352,"mm"
